CODGEO;P21_LOG;P21_RP;P21_RSECOCC;P21_LOGVAC;P21_MAISON;P21_APPART;P21_RP_1P;P10_RP_HABFOR;P10_RP_CASE;P10_RP_MIBOIS;P10_RP_MIDUR
68349;2220.96410944306;1995.05725767414;76.3063143752796;149.60053739364;1301.38197138192;909.560511201663;28.0168836845756;;;;
68350;262.788126735411;214.177242381669;18.0877709223224;30.5231134314191;220.943816587663;37.4918383150779;1.92202956946806;;;;
68351;283.714176285333;273.574290670966;1.01398856143675;9.12589705293073;223.197174781627;60.5170015037056;0;;;;
68352;1278.12811722953;1139.36108077945;24.5438295762045;114.223206873875;719.903988497577;464.8717765114;54.9855803953503;;;;
68353;215.093443022533;194.716084531967;6.11320754716981;14.2641509433962;189.628555676414;23.4271514970626;0;;;;
68354;458.177481557662;414.75628340098;17.5752468729429;25.8459512837396;400.508930353172;56.6183737783991;0;;;;
68355;839.610542804064;692.28062186033;14.4239083441417;132.906012599592;511.445555697984;325.028956992337;7.45589171379745;;;;
68356;423.224465186259;386.71873180854;4.6802222279126;31.8255111498057;367.892450641322;54.3351288539908;2.99036538177928;;;;
68357;229.474996548281;216.141663214948;1.9047619047619;11.4285714285714;199.161750831815;30.3132457164656;0;;;;
68358;261.028958360948;191.028958360948;65;5;237.045156215686;19.9838021452625;0;;;;
68359;827.953826132774;742.658687243885;32.111111111111;53.1840277777777;717.924202513958;109.004733644606;5.10746727308999;;;;
68360;279.350219118267;260.076783714165;5.07195668529001;14.201478718812;242.267446080531;35.3720517869658;1.71072125077014;;;;
68361;163.377505780139;135.377505780139;16.1538461538462;11.8461538461538;159.335449538832;4.04205624130616;0;;;;
68362;382.822699972311;341.196636228072;7.10688893194328;34.5191748122959;322.07819663452;60.7445033377911;1.00667660896173;;;;
68363;311.007760534612;280.323721446664;11.2508143322476;19.4332247557004;250.720350218106;58.2418077106426;1.02183956839744;;;;
68364;469.860787738976;424.866059505025;11.2486820584877;33.7460461754632;378.197354271271;87.5730036282551;2.96858275150194;;;;
68365;994.589578132818;836.805291164211;13.584077686039;144.200209282568;742.64122668276;246.607939715506;7.71968601682156;;;;
68366;341.480146131616;317.836056550312;6.16802336903601;17.4760662122687;315.574168303894;25.2042735369804;1.22764592864522;;;;
68367;551.924269346991;498.62344446299;10.6601649768001;42.6406599072005;425.491393355616;126.432875991375;1.78965455338651;;;;
